PLOTID,IDENT,elev,perSlope,aspect,Northness,Sdclass,Rockiness,VallyBotFlat,topowet,PPTann,pptColdQtr,pptWarmQtr,cvTemp,TempColdMin,TempColdMean,TempWarmMean,cvRad,annMeanRad,miAnnMean,miColdQtr,miWarmQtr,T0,T1,T2,GeolID,GeolClass,SOIL,K,Thor,Uran,THtoK,TotalC,ALA,ARE,ARO,BAX,CAM,GON,LEU,MEL,OBL,OVA,PAU,RAD,RUB,SAB,SER,VER,VIC,VIMcyg,VIMvim,WIL
1,MGS1,426.725891,23.1956875,72.355957,0.303102515,10,60,0.00,8.89,785,262,122,142,27,68,171,45,154,70.96,27.00,25.00,6124.01,7815.17,8142.00,2688,Ssr, ,-0.94,2.48,2.36,-2.33,852.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,MGS5,426.725891,23.1956875,72.355957,0.303102515,10,75,0.00,8.89,785,262,122,142,27,68,171,45,154,70.96,27.00,25.00,6124.01,7815.17,8142.00,2688,Ssr, ,-0.94,2.48,2.36,-2.33,852.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,MGS4,422.60614,27.4594375,107.280342,-0.297047281,10,70,0.00,9.55,780,260,121,142,27,69,172,45,154,70.38,27.00,25.00,3252.96,5923.26,8401.99,2688,Ssr, ,-0.71,3.50,1.01,-2.47,820.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,MGS3,422.60614,27.4594375,107.280342,-0.297047281,15,40,0.00,8.70,778,259,121,142,27,69,172,45,154,70.00,27.00,24.31,1636.63,3853.74,7030.29,2688,Ssr,,-0.71,4.51,2.55,-3.22,823.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,MGS2,414.915924,34.4212125,158.983398,-0.933476547,15,15,0.00,7.27,772,257,120,142,27,69,172,45,154,70.00,27.00,24.06,1352.08,2261.65,5184.28,2688,Ssr, ,-0.71,5.64,2.80,-4.02,825.72,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,MGN1,509.448913,39.76744,275.410125,0.094284242,15,80,0.00,7.58,841,282,129,142,24,64,167,45,153,72.95,24.00,28.22,5018.48,7221.53,8392.52,2688,Ssr, ,0.09,-2.32,4.35,-0.20,677.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,MGN2,505.780609,33.412025,84.757019,0.091379627,10,80,0.00,8.67,846,284,130,143,24,63,167,46,152,73.00,24.00,29.00,4874.83,7046.05,8195.14,2688,Ssr, ,0.11,-2.42,5.62,-0.28,672.84,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,MGN3,528.889648,26.9924875,346.013092,0.97035098,20,40,0.00,6.88,848,285,130,143,24,63,166,46,152,73.00,23.38,29.12,10145.40,7703.64,3868.64,2688,Ssr, ,0.16,-1.59,5.96,-0.25,630.81,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,MGN4,541.552185,11.740915,325.207336,0.821222275,20,20,0.00,8.00,845,284,130,142,24,63,167,46,152,73.00,24.00,28.89,8773.88,7871.89,5364.23,2688,Ssr, ,0.21,0.60,3.87,0.12,581.67,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,MGN5,519.520996,76.72121,180.90393,-0.999875553,20,10,0.00,6.11,830,278,128,142,24,65,168,45,153,72.00,24.44,27.56,672.69,855.84,3445.77,2688,Ssr, ,0.02,3.62,1.33,0.09,640.31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,TBGS1,506.292205,70.265475,113.517211,-0.399024525,15,90,0.00,8.74,846,287,128,145,23,63,168,46,153,73.00,23.00,28.01,2816.11,5493.06,8220.92,2688,Ssr, ,0.24,0.27,3.07,0.07,632.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,TBGS2,456.9635,1.405338125,296.664123,0.448759507,15,60,0.00,8.55,805,273,123,145,25,67,172,45,154,71.00,25.00,25.14,6905.14,8098.11,7727.01,2688,Ssr, ,0.21,2.10,2.31,0.45,635.19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,TBGS3,503.163757,48.26908,223.462783,-0.725821345,15,40,0.00,6.70,807,274,123,145,25,67,172,45,154,71.00,25.00,25.68,1543.46,3639.64,6838.23,2688,Ssr, ,0.34,1.55,3.06,0.53,619.24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,TBGN1,481.473388,65.470955,92.563949,-0.044734418,10,90,0.00,7.67,840,285,128,145,23,64,169,45,153,72.22,23.31,27.69,4329.83,6771.42,8432.92,2688,Ssr, ,0.25,1.82,4.78,0.46,714.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,TBGN2,481.00064,63.06216,95.72071,-0.099679414,15,70,0.00,7.90,834,283,127,145,24,64,169,45,153,72.00,23.69,27.31,4093.07,6608.09,8473.35,2688,Ssr, ,0.16,0.62,4.29,0.10,685.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16,TBGN3,502.515869,62.659865,113.132827,-0.392864054,15,60,0.00,6.28,855,290,130,145,23,62,168,46,153,73.00,23.00,28.86,2840.64,5521.09,8234.92,2688,Ssr, ,0.20,0.03,3.71,0.01,649.49,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,TBGN4,506.292205,70.265475,113.517211,-0.399024525,15,20,0.00,8.74,846,287,128,145,23,63,168,46,153,73.00,23.00,28.01,2816.11,5493.06,8220.92,2688,Ssr, ,0.24,0.27,3.07,0.07,632.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,GRIN1,464.327178,59.99388,249.886795,-0.343876119,10,90,0.00,6.29,794,262,124,140,27,68,169,45,153,71.00,27.00,26.00,3054.85,5732.49,8329.50,2688,Ssr, ,0.12,-0.61,5.02,-0.07,628.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,GRIN2,435.696777,43.798745,258.616546,-0.197374247,5,85,0.00,9.56,782,257,122,139,27,69,170,45,154,71.00,27.00,25.46,3679.44,6302.90,8482.51,2688,Ssr, ,0.09,0.38,3.95,0.04,630.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,GRIN3,429.669738,38.41665,348.599731,0.980270247,30,60,0.00,10.43,786,259,123,139,27,68,170,45,153,71.00,27.00,26.00,10762.99,8129.86,3943.25,2688,Ssr, ,0.16,1.02,3.45,0.17,644.60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,GRIN4,429.669738,38.41665,348.599731,0.980270247,10,70,0.00,10.43,786,259,123,139,27,68,170,45,153,71.00,27.00,26.00,10762.99,8129.86,3943.25,2688,Ssr, ,0.16,1.02,3.45,0.17,644.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,CGS1,410.923583,23.2542575,25.920322,0.899402795,10,90,0.00,11.47,779,253,123,136,28,69,168,45,153,71.00,28.27,26.00,9846.55,5993.59,3438.65,2688,Ssr, ,0.14,1.73,3.73,0.25,696.30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,CGS2,401.350311,22.0558625,32.073566,0.847366997,25,95,0.00,8.51,771,250,122,136,29,70,169,45,153,70.95,29.00,25.38,9374.69,6634.33,4440.12,2688,Ssr, ,0.17,1.60,3.93,0.28,686.46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,CGS3,396.367828,15.00782875,18.805118,0.94662047,30,70,0.91,10.57,766,248,122,136,29,70,169,45,153,70.06,29.00,25.00,10465.01,8226.71,4356.85,2688,Ssr, ,0.18,1.18,3.61,0.21,681.84,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,CGS4,395.008483,12.1441825,322.366973,0.791937806,20,50,0.00,8.73,760,245,121,136,29,71,170,45,154,70.00,29.00,25.00,9008.95,8299.80,5829.61,2688,Ssr, ,0.18,1.49,3.37,0.26,673.21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,CGS5,394.200744,10.657675,39.054561,0.776546327,25,15,0.00,8.25,760,246,121,136,29,71,170,45,154,70.00,29.00,25.00,8507.52,5160.52,2264.69,2688,Ssr, ,0.08,1.86,3.25,0.15,687.77,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27,CGS6,381.187408,8.418275,55.583869,0.565199283,15,10,0.00,8.40,750,242,120,136,30,72,171,45,154,70.00,30.00,24.00,6995.59,4396.96,1955.56,2688,Ssr, ,0.72,1.94,5.02,1.40,681.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
